logFC	AveExpr	t	P.Value	adj.P.Val	B	target_id	DEG_status
-2.183054973174422	7.1469921203107125	-10.007998016570811	9.33758081049208e-10	7.252897489066497e-6	12.455944395318646	MGG_05746T0	downreg_in_guy11
-2.946197826400911	5.785970518227416	-9.733762293842313	1.55967933480279e-9	7.252897489066497e-6	11.884859821308513	MGG_01217T0	downreg_in_guy11
-2.581284246414422	5.192373077254334	-9.671670852641277	1.7540259949374842e-9	7.252897489066497e-6	11.718391260598867	MGG_07030T0	downreg_in_guy11
-2.5704581140536105	7.1654793265099395	-9.377510579479852	3.0795060644102244e-9	7.388513317263915e-6	11.329641336877831	MGG_01719T0	downreg_in_guy11
3.1013940807008096	6.4446623364421045	9.328630636921947	3.384983678258809e-9	7.388513317263915e-6	11.233675669377815	MGG_13009T0	upreg_in_guy11
-2.4302687244705314	4.998710989979331	-9.300670385078273	3.5736461026669477e-9	7.388513317263915e-6	11.090699163385427	MGG_03159T0	downreg_in_guy11
-2.4297533446137605	5.6738132644071335	-9.005706775980817	6.3714409920564104e-9	1.0048205063988759e-5	10.601886010924932	MGG_00133T0	downreg_in_guy11
-1.671716013061686	4.344978030848524	-8.99716553922989	6.480100000960102e-9	1.0048205063988759e-5	10.526951544932256	MGG_00842T0	downreg_in_guy11
-2.2457914170584434	5.375810329414667	-8.898060530553593	7.890325789251591e-9	1.087549904618511e-5	10.408541721900036	MGG_05926T0	downreg_in_guy11
-2.249860707985116	7.697713120370842	-8.670533351045	1.2459931133983064e-8	1.3804088881638364e-5	9.98563462710827	MGG_03384T0	downreg_in_guy11
6.395112534998429	9.795659746750864	8.636336204834402	1.3353411251887171e-8	1.3804088881638364e-5	9.901444257981609	MGG_02647T0	upreg_in_guy11
-1.749439697014755	8.067963142824327	-8.440591918320004	1.990841927159176e-8	1.6853143948193232e-5	9.534332972825766	MGG_17072T0	downreg_in_guy11
-2.3416232166339364	3.9032921001272873	-8.54193938575403	1.617935540141907e-8	1.543883875035412e-5	9.478451351797458	MGG_04415T0	downreg_in_guy11
2.009764319646355	5.520204883557738	8.37676956917978	2.2701968639978285e-8	1.7601120061183163e-5	9.319054925159058	MGG_02386T0	upreg_in_guy11
-2.3152822343174657	7.015471406381078	-8.290066607354644	2.715879208296892e-8	1.981793034054291e-5	9.233157943537933	MGG_02899T0	downreg_in_guy11
2.4257926793085143	2.596632481049039	8.42922591413419	2.037865048149121e-8	1.6853143948193232e-5	9.164294254520474	MGG_01293T0	upreg_in_guy11
-2.1082967109301034	6.911052299199459	-8.219854244897126	3.142455338721239e-8	2.0719690831274096e-5	9.08681777672321	MGG_05706T0	downreg_in_guy11
-2.8576789781637366	7.050400010357932	-8.176845278868484	3.437324841823441e-8	2.0719690831274096e-5	9.004518879822086	MGG_00942T0	downreg_in_guy11
-1.783210554408896	5.767741253865517	-8.1566718011931	3.5853186004803765e-8	2.0719690831274096e-5	8.955345696857515	MGG_10312T0	downreg_in_guy11
-2.057294378952301	4.668272501906329	-8.163945849896896	3.531213126323341e-8	2.0719690831274096e-5	8.927237336261719	MGG_04641T0	downreg_in_guy11
-1.5392937872455432	5.935660102377682	-8.113622014189419	3.923500485400754e-8	2.1161314574520153e-5	8.876667796028366	MGG_07465T0	downreg_in_guy11
-2.3717091268711608	8.96195714059276	-8.083625509708146	4.178434185462634e-8	2.1597281696109988e-5	8.815583487428727	MGG_15038T0	downreg_in_guy11
-3.7239562688084926	4.008352829485982	-8.144913447370747	3.6745924892223306e-8	2.0719690831274096e-5	8.732846455560816	MGG_05044T0	downreg_in_guy11
-1.7855647653990196	4.902832287159413	-7.934303140987946	5.7264812547899315e-8	2.841479998626764e-5	8.500689590283004	MGG_07258T0	downreg_in_guy11
-2.690187962737917	7.051162880155553	-7.871384462646179	6.545593965925726e-8	3.0893394009813116e-5	8.380039881183762	MGG_04449T0	downreg_in_guy11
-1.6096757041248457	5.655658023049477	-7.856610428622587	6.754852157691405e-8	3.0893394009813116e-5	8.348803293059461	MGG_04179T0	downreg_in_guy11
7.990885564315118	-0.45403731509315803	8.703050732798468	1.1667510436404264e-8	1.3804088881638364e-5	8.319575412196052	MGG_07748T0	upreg_in_guy11
-3.17599492326735	5.502768822779906	-7.841694362713845	6.973115939337099e-8	3.0893394009813116e-5	8.305488112604081	MGG_14348T0	downreg_in_guy11
1.9818920136710227	2.5653572441091135	7.790775282827694	7.774475572885841e-8	3.325598947643064e-5	8.174596342250096	MGG_02977T0	upreg_in_guy11
1.0409201697471264	6.1264522917735675	7.736094978283963	8.741235368938724e-8	3.469499540479651e-5	8.099374027614944	MGG_03523T0	upreg_in_guy11
-2.652762483713878	7.181787872365218	-7.731187080549346	8.833850660148506e-8	3.469499540479651e-5	8.088737565599411	MGG_10320T0	downreg_in_guy11
-1.787656855399863	5.503621884083056	-7.692069997726635	9.609077776921704e-8	3.469499540479651e-5	8.007604907359791	MGG_01087T0	downreg_in_guy11
1.4181826119971142	7.470352784625918	7.691580338846762	9.619213558632742e-8	3.469499540479651e-5	8.003930050013388	MGG_12174T0	upreg_in_guy11
-1.8075479433740078	5.0795184819467964	-7.683871287618595	9.780246257358735e-8	3.469499540479651e-5	7.988220178573208	MGG_00361T0	downreg_in_guy11
1.981747398109949	4.816452842053592	7.6834562069658	9.788995075920015e-8	3.469499540479651e-5	7.986727979022307	MGG_03608T0	upreg_in_guy11
-1.4614419217957284	4.842286988630117	-7.642293567102824	1.0697852861128658e-7	3.586672020062189e-5	7.897713860041049	MGG_00053T0	downreg_in_guy11
-2.2549448566759493	4.706857479215908	-7.653726292133368	1.0437039264620067e-7	3.586672020062189e-5	7.868987182281298	MGG_03129T0	downreg_in_guy11
-1.558396222988352	4.436044708737007	-7.607459639351421	1.1534628116804414e-7	3.765448994446284e-5	7.785817976003926	MGG_17119T0	downreg_in_guy11
-2.0056857892468765	5.890160548300866	-7.547010309700291	1.3150094497964105e-7	4.1827415960831986e-5	7.70432412814108	MGG_14496T0	downreg_in_guy11
1.7494455632623565	6.179464679107532	7.534785265006796	1.3504141005745086e-7	4.187971729406695e-5	7.674066238708443	MGG_08180T0	upreg_in_guy11
-1.4364600893979471	4.489627348122166	-7.497786786876184	1.46365635787914e-7	4.428452955973349e-5	7.577496079217145	MGG_00129T0	downreg_in_guy11
-3.8236965198825743	8.326063900247812	-7.4370270179501965	1.6712560207863962e-7	4.9361740328226766e-5	7.470697505593274	MGG_06691T0	downreg_in_guy11
1.79147949062739	5.919778351139116	7.396912379766205	1.824697572070694e-7	5.263573623799067e-5	7.384617994157248	MGG_16728T0	upreg_in_guy11
4.053591793907087	2.9523317953249393	7.386469921444368	1.8669668637417087e-7	5.263573623799067e-5	7.3651379455050545	MGG_07522T0	upreg_in_guy11
-1.9136167607845342	4.706911019942638	-7.365109806766142	1.9565917153739196e-7	5.393671162047439e-5	7.317994835246822	MGG_09254T0	downreg_in_guy11
-1.4499175574890089	5.3103595034477244	-7.332753174964374	2.1008611662252908e-7	5.665474514570594e-5	7.251548595116889	MGG_01099T0	downreg_in_guy11
-1.1736910380590393	6.296787652588455	-7.310259416343606	2.20755732504272e-7	5.826542258969136e-5	7.194045558594272	MGG_06904T0	downreg_in_guy11
-2.6926908156581755	6.779231895954315	-7.26274045514932	2.451647740502997e-7	6.296284728678e-5	7.09807366766348	MGG_06511T0	downreg_in_guy11
3.965747035251904	3.1262557291144257	7.253136450825945	2.5042580249390557e-07	6.296284728678e-5	7.067030500058574	MGG_06452T0	upreg_in_guy11
-1.9292623687102939	5.280687075570388	-7.238171502510637	2.588557204051415e-7	6.296284728678e-5	7.048792019698225	MGG_04993T0	downreg_in_guy11
1.964937503644295	4.695724522299272	7.2456579483655466	2.5460269754151203e-7	6.296284728678e-5	7.007665341930279	MGG_05039T0	upreg_in_guy11
1.4056893939612491	5.086097831674005	7.213559740226934	2.733589144565175e-7	6.41577033444316e-5	6.996586992834068	MGG_04487T0	upreg_in_guy11
-1.6408480823212095	4.859076323818874	-7.212318780062585	2.7411191271703945e-7	6.41577033444316e-5	6.9941760347493815	MGG_04746T0	downreg_in_guy11
-2.3411841943847973	6.747562421648123	-7.178949398769291	2.9517904511557516e-7	6.780918619738352e-5	6.914619429530383	MGG_03840T0	downreg_in_guy11
1.5195335053814967	5.186844085938164	7.104642760813327	3.482747147237707e-7	7.643856039406148e-5	6.76344198641282	MGG_03153T0	upreg_in_guy11
-1.098540872335576	6.554601318741498	-7.105199801316161	3.4784218773787837e-7	7.643856039406148e-5	6.750329300925408	MGG_00109T0	downreg_in_guy11
-1.798309018665834	7.003134025209368	-7.100856667471309	3.5122917714320874e-7	7.643856039406148e-5	6.743955041091741	MGG_05061T0	downreg_in_guy11
-1.5354469497346308	5.170649552765689	-7.080470299850498	3.675856217858526e-7	7.728643454666951e-5	6.711302208324217	MGG_00363T0	downreg_in_guy11
-1.6520219106743905	6.524343400834443	-7.080744853405924	3.6736022646861044e-7	7.728643454666951e-5	6.6973771317034	MGG_11480T0	downreg_in_guy11
1.3885039039056064	5.81718314358463	7.059722808363229	3.850355353708462e-7	7.960609693792245e-5	6.66105537117326	MGG_04081T0	upreg_in_guy11
-2.993905801308272	7.607641977079019	-7.044266064172691	3.985864563844172e-7	8.10568031385032e-5	6.623094869393867	MGG_03375T0	downreg_in_guy11
-2.3276810796853558	5.78804819699043	-7.030460507133058	4.111033087981139e-7	8.22538152522678e-5	6.600134003026678	MGG_01628T0	downreg_in_guy11
-1.6941491544777634	8.605655134502856	-7.004679550024073	4.355685374554758e-7	8.442543292398714e-5	6.5361791307447135	MGG_01995T0	downreg_in_guy11
-1.3657058240552908	4.7048306839721326	-6.967170898820994	4.738592711166763e-7	9.043421935695953e-5	6.465224879445968	MGG_04996T0	downreg_in_guy11
-2.7856397631215835	4.340705954630131	-7.015337903920857	4.252779190029148e-7	8.373924738462156e-5	6.462908571571496	MGG_05239T0	downreg_in_guy11
1.2723796360549509	7.5045943511718685	6.95759004906951	4.841824082530007e-7	9.10042844602799e-5	6.425876350099408	MGG_12948T0	upreg_in_guy11
-1.900173296840241	4.5012530059918925	-6.946594118373214	4.963149877464116e-7	9.182670259515168e-5	6.418913049971165	MGG_08840T0	downreg_in_guy11
-1.3073681840690181	7.612672710007491	-6.933851820833183	5.107652139512669e-7	9.182670259515168e-5	6.374144020504003	MGG_06276T0	downreg_in_guy11
-1.4088152222161412	5.9114633316922935	-6.918292569276608	5.28996727281188e-7	9.374577717033052e-5	6.353763465826775	MGG_04987T0	downreg_in_guy11
1.089671067839018	6.309575033438021	6.892672784879093	5.604835808521655e-7	9.792674395029736e-5	6.281929958409804	MGG_14202T0	upreg_in_guy11
-1.9036013017746036	9.346192512098801	-6.86903439145887	5.912393795990934e-7	1.018656181100938e-4	6.23814231660435	MGG_12958T0	downreg_in_guy11
2.2008457484743857	3.9902320705696352	6.82458802392956	6.538385279204849e-7	1.0984866339529708e-4	6.158223322054725	MGG_10764T0	upreg_in_guy11
-1.7649684862115977	4.525108219166258	-6.82361383024741	6.552842475817803e-7	1.0984866339529708e-4	6.155915781465529	MGG_05033T0	downreg_in_guy11
