logFC,AveExpr,t,P.Value,adj.P.Val,B,target_id,DEG_status,Comparison
-3.148117087386478,5.192373077254334,-11.819379894596008,3.92055998071066e-11,3.736488038899806e-7,15.338669564645391,MGG_07030T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-3.506117271961293,5.785970518227416,-11.561425788224334,6.024164512534953e-11,3.736488038899806e-7,15.015029594226805,MGG_01217T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-1.8889065750752232,7.148404259050442,-10.927876291350945,1.782918259872963e-10,7.372367004574704e-7,14.11398627082682,MGG_07075T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.6863043174837773,4.668272501906329,-10.736177649708198,2.4974567642534186e-10,7.745237790140916e-7,13.650104565077005,MGG_04641T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-1.9230499581721985,4.344978030848524,-10.362311908604491,4.877406261341625e-10,1.093429536147798e-6,13.034115131466333,MGG_00842T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-3.003037311243204,4.706857479215908,-10.317701276839268,5.288655555733002e-10,1.093429536147798e-6,12.87607592005697,MGG_03129T0,downreg_in_guy11,guy11_vs_Dbip1_0h
1.8943873758690823,8.848415165545841,10.167338809902075,6.959723689597821e-10,1.2333624624208709e-6,12.79474655582974,MGG_15302T0,upreg_in_guy11,guy11_vs_Dbip1_0h
-2.131431448698999,7.1469921203107125,-9.792205774829904,1.3970732408877972e-9,1.708287089749919e-6,12.117504497052932,MGG_05746T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.6389763283912107,5.6738132644071335,-9.781013425026552,1.4267971103587487e-9,1.708287089749919e-6,12.077198486224423,MGG_00133T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-1.9219925070129549,5.094365264671933,-9.694482835568342,1.6798662653788395e-9,1.708287089749919e-6,11.909779119214312,MGG_05013T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.4855167302514873,6.911052299199459,-9.678806427019373,1.730471684752414e-9,1.708287089749919e-6,11.90472090399116,MGG_05706T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-1.783180091491598,5.296126826261567,-9.660895854898833,1.7902242778515875e-9,1.708287089749919e-6,11.880377230015744,MGG_08771T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-1.8427645705711937,4.842286988630117,-9.674514789048445,1.7445987488402307e-9,1.708287089749919e-6,11.869890652277212,MGG_00053T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-1.824948225266012,5.935660102377682,-9.612250427845463,1.963525518389679e-9,1.739823861115998e-6,11.793432512501155,MGG_07465T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.5410890171146496,5.280687075570388,-9.56437276681565,2.151081360216891e-9,1.778944284899369e-6,11.663869269984776,MGG_04993T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.508035469061205,4.188324300505545,-9.50975840109177,2.387829629440228e-9,1.7998204917735245e-6,11.484102163107137,MGG_03872T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.1555469052035887,4.678283901116502,-9.45349902301263,2.6600206063699027e-9,1.7998204917735245e-6,11.456343257754371,MGG_02974T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.5114076676353667,5.890160548300866,-9.43494269030138,2.756677899532202e-9,1.7998204917735245e-6,11.452211644954524,MGG_14496T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.5905273291084723,3.9032921001272873,-9.464606568636045,2.603846010158234e-9,1.7998204917735245e-6,11.2688532776591,MGG_04415T0,downreg_in_guy11,guy11_vs_Dbip1_0h
2.4346501800331346,5.418576044154895,9.323874394281834,3.416334731037168e-9,2.1189816169258034e-6,11.230351319734853,MGG_03604T0,upreg_in_guy11,guy11_vs_Dbip1_0h
-2.1801969660988645,5.793428292170295,-9.15163994308427,4.779573407223868e-9,2.7503495120653657e-6,10.926857268548144,MGG_00137T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-1.8731390725493844,5.655658023049477,-9.141279217916882,4.8776855514258805e-9,2.7503495120653657e-6,10.903846750869723,MGG_04179T0,downreg_in_guy11,guy11_vs_Dbip1_0h
-2.3978588216006287,5.1422059490072725,-9.089411064614715,5.401095367122949e-9,2.913069044746095e-6,10.788876757255776,MGG_07718T0,downreg_in_guy11,guy11_vs_Dbip1_0h
