logFC	AveExpr	t	P.Value	adj.P.Val	B	target_id	DEG_status
-3.148117087386478	5.192373077254334	-11.819379894596008	3.92055998071066e-11	3.7364880388998055e-7	15.338669564645393	MGG_07030T0	downreg_in_guy11
-3.506117271961293	5.785970518227416	-11.561425788224334	6.024164512534954e-11	3.7364880388998055e-7	15.015029594226803	MGG_01217T0	downreg_in_guy11
-1.8889065750752234	7.148404259050442	-10.927876291350943	1.7829182598729633e-10	7.372367004574704e-7	14.113986270826821	MGG_07075T0	downreg_in_guy11
-2.6863043174837773	4.668272501906329	-10.736177649708198	2.497456764253419e-10	7.745237790140916e-7	13.650104565077005	MGG_04641T0	downreg_in_guy11
-1.9230499581721983	4.344978030848524	-10.362311908604491	4.877406261341626e-10	1.0934295361477981e-6	13.034115131466333	MGG_00842T0	downreg_in_guy11
-3.003037311243204	4.706857479215908	-10.317701276839268	5.288655555733002e-10	1.0934295361477981e-6	12.87607592005697	MGG_03129T0	downreg_in_guy11
1.8943873758690826	8.848415165545841	10.167338809902075	6.95972368959782e-10	1.2333624624208707e-6	12.794746555829741	MGG_15302T0	upreg_in_guy11
-2.131431448698999	7.1469921203107125	-9.792205774829903	1.3970732408877974e-9	1.708287089749919e-6	12.117504497052932	MGG_05746T0	downreg_in_guy11
-2.6389763283912107	5.6738132644071335	-9.781013425026552	1.4267971103587489e-9	1.708287089749919e-6	12.077198486224423	MGG_00133T0	downreg_in_guy11
-1.9219925070129547	5.094365264671933	-9.694482835568342	1.6798662653788397e-9	1.708287089749919e-6	11.909779119214312	MGG_05013T0	downreg_in_guy11
-2.4855167302514873	6.911052299199459	-9.678806427019373	1.730471684752414e-9	1.708287089749919e-6	11.904720903991159	MGG_05706T0	downreg_in_guy11
-1.783180091491598	5.296126826261567	-9.660895854898833	1.7902242778515877e-9	1.708287089749919e-6	11.880377230015743	MGG_08771T0	downreg_in_guy11
-1.8427645705711937	4.842286988630117	-9.674514789048445	1.7445987488402307e-9	1.708287089749919e-6	11.869890652277212	MGG_00053T0	downreg_in_guy11
-1.824948225266012	5.935660102377682	-9.612250427845463	1.963525518389679e-9	1.7398238611159979e-6	11.793432512501155	MGG_07465T0	downreg_in_guy11
