target_id Guy11_0h Guy11_4h Guy11_24h Dbip1_0h Dbip1_4h Dbip1_24h Dmst12_0h Dmst12_4h Dmst12_24h
MGG_15685T0 46 42.333333333333336 30.666666666666668 20 43.333333333333336 14.666666666666666 35 8 23.333333333333332
MGG_09000T0 504.6666666666667 432.3333333333333 231.66666666666663 60.666666666666664 193.66666666666663 19.333333333333332 32.333333333333336 184.33333333333337 19
MGG_01057T0 1792.6666666666667 2118.6666666666665 1032 809 1304.3333333333333 745.3333333333334 1106.6666666666667 1120 787.3333333333334
MGG_07361T0 1216.6666666666667 1530.6666666666667 78.66666666666667 1649.3333333333337 1082 45.666666666666664 439.6666666666667 431.6666666666667 86
MGG_13936T0 36087.666666666664 45094.666666666664 6816 16898.333333333332 44194.666666666664 8421.666666666666 13482 24971.333333333332 3203.3333333333335
MGG_02933T0 1554 2293.6666666666665 274.3333333333333 1336 1526 503.3333333333333 587 858.3333333333334 362
MGG_06314T0 254.73833333333332 866.442 604.3023333333333 847.9516666666666 527.2756666666667 603.5096666666667 809.6096666666666 544.068 708.7476666666666
MGG_00496T0 1228.3333333333333 2209.3333333333335 1412.3333333333333 2320.3033333333333 1817.3233333333333 1736.9733333333334 2368.6366666666668 1291 1732.6433333333334
MGG_01682T0 114.33333333333331 529.3333333333334 307 760 458.6666666666667 450 543.3333333333334 293 501.3333333333333
MGG_03438T0 1162 1922 533.6666666666666 2455.3333333333335 1703.6666666666667 1102.3333333333333 2375.6666666666665 1113.3333333333333 883.6666666666666
MGG_03214T0 1027.6666666666667 2287.3333333333335 1172.6666666666667 3857.3333333333335 1924.6666666666667 1450.6666666666667 3675.6666666666665 1455.6666666666667 1453.3333333333333
MGG_11237T0 477.3333333333333 1027 229.66666666666663 1608 711.3333333333334 540 435.3333333333333 478.6666666666667 277
MGG_16127T0 15 37.666666666666664 9.333333333333334 54.333333333333336 28 20.666666666666668 34 23.666666666666668 18.333333333333332
MGG_12350T0 24 30.040266666666668 10.666666666666666 29.666666666666668 10.666666666666666 20 11.333333333333334 12 22.044833333333333
MGG_13557T0 500 1545.3333333333333 673.6666666666666 1785.6666666666667 562 498 478.6666666666667 287.6666666666667 609.6666666666666
MGG_03404T0 2817.3333333333335 4272 1299.3333333333333 4556.333333333333 1420.6666666666667 2006 1911.6666666666667 794.6666666666666 1926
MGG_05625T0 400.4626666666667 487.844 324.081 502.266 353.6943333333333 325.78666666666663 281.539 209.17066666666668 317.12
MGG_06680T0 815.8503333333333 1766.1766666666667 931.0263333333334 1384.3546666666666 947.8963333333334 932.1403333333334 1029.232 797.2106666666667 1303.1733333333334
MGG_05514T0 420.3333333333333 1761.6666666666663 409.6666666666667 855.6666666666666 60.666666666666664 133.33333333333334 280.3333333333333 91 595.3333333333334
MGG_01494T0 3069.3333333333335 7208.333333333333 1312.3333333333333 4447.666666666667 3328 3047.6666666666665 3535.6666666666665 2653.3333333333335 1237
MGG_09268T0 834.3333333333334 1642.3333333333333 389.3333333333333 1070 758 474.6666666666667 295.3333333333333 530.6666666666666 728.3333333333334
MGG_03403T0 71.33333333333333 232 19 163.66666666666666 79.33333333333333 22.333333333333332 46 41.666666666666664 36.333333333333336
MGG_00076T0 2182 3727.3333333333335 1532 2026 1987 976.6666666666666 3307 1977 1706.6666666666667
MGG_10848T0 171.66666666666666 974.6666666666666 109 533.3333333333334 265.6666666666667 84 577.6666666666666 145.66666666666666 316.3333333333333
EFMOT00000000215 13.333333333333334 61.97436666666667 5.666666666666667 5.492064333333333 9.327466666666666 4.666666666666667 23.586266666666667 1.8666666666666667 11.702143333333334
MGG_15553T0 55.344566666666665 162.33333333333334 51.333333333333336 63.717666666666666 54.721266666666665 33.344633333333334 111.6912 41 46.7086
MGG_08285T0 162.33333333333334 1089.6666666666667 93.33333333333331 147 439 383.3333333333333 281.3333333333333 525.3333333333334 175.33333333333334
MGG_12671T0 9961.98 30258.933333333334 2681.5633333333335 4020.043333333333 13280.1 6201.346666666666 9304.743333333334 14567.7 6677.966666666666
MGG_03578T0 25449.333333333332 44020.666666666664 15667.666666666666 19728 22873.666666666668 23256 24333 25799.333333333332 20119.333333333332
MGG_02722T0 2600.6666666666665 6634.333333333333 884 1280.6666666666667 3240.3333333333335 1679.3333333333333 2251.3333333333335 1657.6666666666667 1337
MGG_13509T0 340.6666666666667 540.3333333333334 210.66666666666663 250.66666666666663 374.3333333333333 262 347.3333333333333 271.6666666666667 236.66666666666663
MGG_07332T0 1525.496666666667 3175.096666666667 851.36 1494.7933333333333 2094.54 1081.612 2332.076666666667 1496.0466666666666 1537.6166666666668
MGG_05070T0 2545 12594.666666666666 827 2377 6067 902.6666666666666 5888.666666666667 2409.3333333333335 599
MGG_02431T0 4.333333333333333 27 0.33333333333333337 3.6666666666666665 12.666666666666666 2.3333333333333335 12 2 2.6666666666666665
MGG_15423T0 1867.6666666666667 3723.6666666666665 1358 2287.6666666666665 1789.3333333333333 1075.3333333333333 3035.6666666666665 2056.6666666666665 2825.6666666666665
MGG_07200T0 47612 75811.33333333333 14937.333333333334 41463.333333333336 55746.666666666664 21995 54332.333333333336 46983.666666666664 54588.333333333336
MGG_02686T0 281 413.6666666666667 152.66666666666666 420.3333333333333 245 173.33333333333334 353.6666666666667 245.33333333333337 269.3333333333333
MGG_04389T0 445.2746666666667 738.9200000000001 162.643 423.957 342.6413333333333 287.815 474.121 445.97 423.12766666666664
MGG_04643T0 1093 1789.3333333333333 370 1361.3333333333333 888 792.6666666666666 1028 906 947.6666666666666
MGG_05674T0 3249 5301.666666666667 2989.6666666666665 5001 4875.666666666667 2029 5120.333333333333 4083.6666666666665 1361.6666666666667
MGG_13549T0 30.333333333333332 95 58 59.333333333333336 95 26 93 31.666666666666668 28
MGG_01227T0 1451.3333333333333 4449 2538.6666666666665 3774.6666666666665 3312.6666666666665 1850 4652.666666666667 2364.3333333333335 2497.3333333333335
MGG_04564T0 13425 22376 15612 22179.333333333332 18629 10169.666666666666 25758.666666666668 12013 9012.333333333334
MGG_04204T0 1941.3333333333333 3573.6666666666665 1837 3022.3333333333335 2773.3333333333335 1388.3333333333333 4101.666666666667 1989.6666666666667 1800
MGG_02849T0 2522 7855.333333333333 767 3195 6412 1297.6666666666667 6212.333333333333 3128 726.3333333333334
MGG_11945T0 363 1368 269.3333333333333 746 838 430.6666666666667 1044.6666666666667 658 365
MGG_02915T0 185.33333333333337 462.3333333333333 83 316.6666666666667 290.3333333333333 105 387.3333333333333 258 164.66666666666666
MGG_04520T0 736.6143333333333 1891.3333333333333 829.5596666666667 1451 1511.6666666666667 923.213 1265 872.852 871.3333333333334
MGG_02520T0 3794.3333333333335 11377.333333333334 2055 9959.666666666666 8852.333333333334 2478 7274.333333333333 6607 3202.6666666666665
MGG_06672T0 3259 7505 2305 6729.666666666667 6120.333333333333 3933.6666666666665 4675.333333333333 4253.333333333333 3397.3333333333335
MGG_09970T0 651.6666666666666 2386 1338.3333333333333 1762.3333333333333 2330.6666666666665 1559.3333333333333 1577.3333333333333 1079.6666666666667 1291.6666666666667
MGG_01028T0 2054 6324 1750.6666666666667 4727.666666666667 3770.6666666666665 2223.3333333333335 4133 3615.6666666666665 3509.3333333333335
MGG_08463T0 710.6666666666666 2013 755.3333333333334 1337.6666666666667 1535.3333333333333 844.3333333333334 1184.6666666666667 1272.6666666666667 1221.3333333333333
MGG_01799T0 188 679 281.3333333333333 464 460 319.6666666666667 360 338 432.6666666666667
MGG_01260T0 1381 7811 4506 5619.333333333333 5048 4290.333333333333 4385.333333333333 4717 3922.3333333333335
MGG_00468T0 1200 3528.3333333333335 1860.6666666666667 2503.3333333333335 3014 1603.6666666666667 1722.3333333333333 2224 1538
MGG_17841T0 3687 13860.666666666666 6502.666666666667 9928 9334.666666666666 4391.666666666667 8043.333333333333 7533 6460.666666666667
MGG_06057T0 2153.6666666666665 7778.666666666667 4464 6427 6519 2913 4437.666666666667 4038.3333333333335 4251.333333333333
MGG_07246T0 4.333333333333333 6.666666666666667 4 0 3 1.3333333333333337 4 0.6666666666666666 5.666666666666667
MGG_03479T0 2481.1433333333334 2336.42 1609.2033333333334 1240 1445.36 1307.6666666666667 1951.3966666666663 1373.9166666666667 2550.1
MGG_06887T0 1684 1982.3333333333333 1216.6666666666667 980 1007.3333333333334 889.3333333333334 1640 1403.3333333333333 1856.3333333333333
MGG_08527T0 387.6666666666667 601 121.33333333333331 181 234 284 478.3333333333333 214.66666666666663 509.6666666666667
MGG_11317T0 4169.333333333333 9900.333333333334 4992.666666666667 3475.6666666666665 2141 2966.3333333333335 5639 2488.3333333333335 9383.666666666666
MGG_00652T0 2902 5845 2762.3333333333335 1509.3333333333333 1421 3097 3643.3333333333335 1435.3333333333333 5215.666666666667
MGG_01768T0 2236.3333333333335 12365.333333333334 2817.3333333333335 3700.3333333333335 1561 4358.333333333333 5743.333333333333 1657.6666666666667 6371.333333333333
MGG_03288T0 10175.333333333334 22068.333333333332 8777 11931 7471 11180.333333333334 10828 7039.333333333333 14413.333333333334
MGG_15750T0 74 116.66666666666669 49.666666666666664 65 41.333333333333336 52.666666666666664 76.66666666666667 37.333333333333336 83.33333333333333
MGG_10847T0 1459.6666666666667 3468.6666666666665 1318 1570.6666666666667 1094 1024 1851 910.3333333333334 2276.3333333333335
MGG_09516T0 1415 2828 1093.3333333333333 1105 1084.3333333333333 855 1757 1100.3333333333333 2043
MGG_00619T0 147.66666666666666 155 60 50.333333333333336 82.66666666666667 126.33333333333331 75.66666666666667 91.66666666666669 118.66666666666669
MGG_08159T0 1735 2143.6666666666665 1027.6666666666667 1202 748 1392.3333333333333 1246.3333333333333 844 1936.3333333333333
MGG_15779T0 26.666666666666668 36 11 13.666666666666666 6.333333333333333 15.666666666666666 12.666666666666666 10.333333333333334 28.333333333333332
MGG_07673T0 543.3333333333334 937 403.3333333333333 379.6666666666667 402 627 548 457.3333333333333 717.3333333333334
MGG_05961T0 654 1314.6666666666667 399 356.3333333333333 479.3333333333333 995 617.3333333333334 641 1281
MGG_02407T0 4330.666666666667 6280.666666666667 2974 1483 2830.6666666666665 3897.3333333333335 1453.6666666666667 1705.3333333333333 6470
MGG_05390T0 18.333333333333332 27.666666666666668 11.666666666666666 3.6666666666666665 11.666666666666666 13.333333333333334 11.666666666666666 9.666666666666666 20.666666666666668
MGG_15074T0 254.33333333333337 444.3333333333333 348 212.66666666666663 180.66666666666663 248.66666666666663 332.6666666666667 304.3333333333333 334.6666666666667
