ProtID	GO_ID
MGG_00111	GO:0046872, GO:0016021, GO:0005524, GO:0000166, GO:0008152, GO:0016787, GO:0000287, GO:0016020, GO:0003824, GO:0015914, GO:0004012, GO:0015662, GO:0006812, GO:0016820, GO:0140326, GO:0034204, GO:0005215, GO:0016887
MGG_00112	GO:0016021, GO:0003674, GO:0005575, GO:0016020
MGG_00116	GO:0016021, GO:0016020
MGG_00117	GO:0008270, GO:0005634, GO:0003743, GO:0006355, GO:0006352, GO:0006413, GO:0045893, GO:0070897, GO:0017025, GO:0000995, GO:0000126, GO:0006383
MGG_00118	GO:0005622, GO:0005097, GO:0032313
MGG_00119	GO:0003674, GO:0008150, GO:0005575
MGG_00120	GO:0003674, GO:0008150, GO:0005575
MGG_00123	GO:0008150, GO:0005575, GO:0005515
MGG_00124	GO:0003674, GO:0005575, GO:0043130
MGG_00126	GO:0016021, GO:0005515, GO:0016020
MGG_00127	GO:0016021, GO:0000166, GO:0016491, GO:0055114, GO:0005575, GO:0016020
MGG_00128	GO:0016021, GO:0016020, GO:0005739
MGG_00129	GO:0006364, GO:0030515
MGG_00133	GO:0016021, GO:0022857, GO:0055085, GO:0016020
MGG_00134	GO:0046872, GO:0008270, GO:0005694, GO:0008150, GO:0005575
MGG_00135	GO:0005737, GO:0005524, GO:0000166, GO:0051082, GO:0006457, GO:0044267, GO:0005575, GO:0140662, GO:0016887, GO:0032991, GO:0051086, GO:0005832
MGG_00136	GO:0003677, GO:0005634
MGG_00137	GO:0003676, GO:0008270, GO:0005634, GO:0006355, GO:0003700, GO:0046872
MGG_00138	GO:0003677, GO:0006355, GO:0008150
MGG_00139	GO:0046872, GO:0008270, GO:0005634, GO:0004842, GO:0005622, GO:0016874, GO:0010390, GO:0016740, GO:0006325, GO:0016567
MGG_00140	GO:0030176, GO:0006816, GO:2001256, GO:0016020, GO:0016021, GO:0005783, GO:0005789, GO:0006811
MGG_00141	GO:0016021, GO:0005524, GO:0006200, GO:0000166, GO:0006810, GO:0055085, GO:0016887, GO:0017111, GO:0042626, GO:0140359, GO:0016020
MGG_00143	GO:0046872, GO:0003677, GO:0005634
MGG_00144	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00145	GO:0046872, GO:0008270, GO:0005777, GO:0005778, GO:0007031, GO:0008150
MGG_00146	GO:0003674, GO:0008150, GO:0005575
MGG_00148	GO:0003674, GO:0008150, GO:0005575
MGG_00149	GO:0046872, GO:0016787, GO:0004721, GO:0048037, GO:0004724, GO:0008150, GO:0005575, GO:0000324, GO:0004722, GO:0005737, GO:0016791, GO:0017018
MGG_00150	GO:0016021, GO:0005886, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00151	GO:0003674, GO:0005575, GO:0005515
MGG_00152	GO:0005515, GO:0006338, GO:0018024, GO:0016571
MGG_00153	GO:0032126, GO:0005739, GO:0005737, GO:0005741, GO:0006897, GO:0009408, GO:0008104, GO:0004860, GO:0110165, GO:0043086
MGG_00154	GO:0031417
MGG_00155	GO:0046872, GO:0004519, GO:0003677, GO:0005634, GO:0006281, GO:0003824, GO:0003697, GO:0006289, GO:0016788, GO:0004518, GO:0016787, GO:0006974, GO:0090305, GO:0036297, GO:1901255
MGG_00156	GO:0051172, GO:0000166, GO:0005575
MGG_00157	GO:0016021, GO:0005777, GO:0005778, GO:0016560, GO:0005515, GO:0016020, GO:0030674, GO:1990429
MGG_00158	GO:0016021, GO:0016020, GO:0022857, GO:0015205, GO:0055085
MGG_00160	GO:0003674, GO:0008150, GO:0005575
MGG_00161	GO:0003676, GO:0005737, GO:0005524, GO:0000166, GO:0006412, GO:0004824, GO:0006430, GO:0016874, GO:0006418, GO:0004812
MGG_00162	GO:0046872, GO:0015031, GO:0005739, GO:0005743, GO:0006810, GO:0016020, GO:0042719, GO:0045039, GO:0006626, GO:0051082, GO:0140318, GO:0005758, GO:0042721
MGG_00163	GO:0003674, GO:0008150, GO:0005575, GO:0097502, GO:0000009, GO:0005794, GO:1901135
MGG_00164	GO:0016021, GO:0016758, GO:0016740, GO:0016757, GO:0016020
MGG_00166	GO:0046872, GO:0008152, GO:0003824, GO:0004721, GO:0008150, GO:0005575, GO:0016787, GO:0004722, GO:0017018
