GO.ID	Term	Annotated	Significant	Expected	topgoFisher	filename	GO_cat
GO:0031167	rRNA methylation	14	5	1.2	0.00541	downreg_Dbip1_0h	BP
GO:0043144	sno(s)RNA processing	9	3	0.77	0.00728	downreg_Dbip1_0h	BP
GO:0120290	stalled replication fork localization to...	2	2	0.17	0.00728	downreg_Dbip1_0h	BP
GO:0110136	protein-RNA complex remodeling	2	2	0.17	0.00728	downreg_Dbip1_0h	BP
GO:0006552	leucine catabolic process	2	2	0.17	0.00728	downreg_Dbip1_0h	BP
GO:0070125	mitochondrial translational elongation	2	2	0.17	0.00728	downreg_Dbip1_0h	BP
GO:1990426	mitotic recombination-dependent replicat...	2	2	0.17	0.00728	downreg_Dbip1_0h	BP
GO:0007089	traversing start control point of mitoti...	2	2	0.17	0.00728	downreg_Dbip1_0h	BP
GO:0097623	potassium ion export across plasma membr...	2	2	0.17	0.00728	downreg_Dbip1_0h	BP
GO:0006470	protein dephosphorylation	28	7	2.39	0.00775	downreg_Dbip1_0h	BP
GO:0048315	conidium formation	11	4	0.94	0.01069	downreg_Dbip1_0h	BP
GO:0006396	RNA processing	352	104	30.06	0.01374	downreg_Dbip1_0h	BP
GO:0030150	protein import into mitochondrial matrix	12	4	1.02	0.01497	downreg_Dbip1_0h	BP
GO:0030490	maturation of SSU-rRNA	41	26	3.5	0.01542	downreg_Dbip1_0h	BP
GO:0042255	ribosome assembly	24	13	2.05	0.01615	downreg_Dbip1_0h	BP
GO:0031564	transcription antitermination	3	2	0.26	0.02061	downreg_Dbip1_0h	BP
GO:0031440	regulation of mRNA 3'-end processing	3	2	0.26	0.02061	downreg_Dbip1_0h	BP
GO:0000244	spliceosomal tri-snRNP complex assembly	3	2	0.26	0.02061	downreg_Dbip1_0h	BP
GO:2000232	regulation of rRNA processing	3	2	0.26	0.02061	downreg_Dbip1_0h	BP
GO:0031047	regulatory ncRNA-mediated gene silencing	20	6	1.71	0.02488	downreg_Dbip1_0h	BP
GO:0006362	transcription elongation by RNA polymera...	8	3	0.68	0.02507	downreg_Dbip1_0h	BP
GO:0032508	DNA duplex unwinding	23	5	1.96	0.02637	downreg_Dbip1_0h	BP
GO:0000079	regulation of cyclin-dependent protein s...	15	4	1.28	0.03363	downreg_Dbip1_0h	BP
GO:0006417	regulation of translation	53	7	4.53	0.03522	downreg_Dbip1_0h	BP
GO:0051260	protein homooligomerization	4	2	0.34	0.0389	downreg_Dbip1_0h	BP
GO:0006535	cysteine biosynthetic process from serin...	4	2	0.34	0.0389	downreg_Dbip1_0h	BP
GO:1990961	xenobiotic detoxification by transmembra...	4	2	0.34	0.0389	downreg_Dbip1_0h	BP
GO:0006265	DNA topological change	4	2	0.34	0.0389	downreg_Dbip1_0h	BP
GO:0002943	tRNA dihydrouridine synthesis	4	2	0.34	0.0389	downreg_Dbip1_0h	BP
GO:2000786	positive regulation of autophagosome ass...	4	2	0.34	0.0389	downreg_Dbip1_0h	BP
GO:0006289	nucleotide-excision repair	24	6	2.05	0.04118	downreg_Dbip1_0h	BP
GO:0000184	nuclear-transcribed mRNA catabolic proce...	10	3	0.85	0.04724	downreg_Dbip1_0h	BP
GO:0000027	ribosomal large subunit assembly	15	6	0.88	0.00013	downreg_Dbip1_24h	BP
GO:0006412	translation	293	29	17.2	0.00083	downreg_Dbip1_24h	BP
GO:0051301	cell division	95	13	5.58	0.00084	downreg_Dbip1_24h	BP
GO:0110136	protein-RNA complex remodeling	2	2	0.12	0.00344	downreg_Dbip1_24h	BP
GO:0140429	positive regulation of mitotic sister ch...	2	2	0.12	0.00344	downreg_Dbip1_24h	BP
GO:0030466	silent mating-type cassette heterochroma...	9	3	0.53	0.01294	downreg_Dbip1_24h	BP
GO:0006407	rRNA export from nucleus	4	2	0.23	0.01906	downreg_Dbip1_24h	BP
GO:0106035	protein maturation by [4Fe-4S] cluster t...	4	2	0.23	0.01906	downreg_Dbip1_24h	BP
GO:1990547	mitochondrial phosphate ion transmembran...	4	2	0.23	0.01906	downreg_Dbip1_24h	BP
GO:0006750	glutathione biosynthetic process	4	2	0.23	0.01906	downreg_Dbip1_24h	BP
GO:0006730	one-carbon metabolic process	17	4	1	0.0296	downreg_Dbip1_24h	BP
GO:0070814	hydrogen sulfide biosynthetic process	7	3	0.41	0.03044	downreg_Dbip1_24h	BP
GO:0000056	ribosomal small subunit export from nucl...	5	2	0.29	0.03054	downreg_Dbip1_24h	BP
GO:0006631	fatty acid metabolic process	63	4	3.7	0.03071	downreg_Dbip1_24h	BP
GO:0007018	microtubule-based movement	21	4	1.23	0.03163	downreg_Dbip1_24h	BP
GO:0007049	cell cycle	246	22	14.44	0.03571	downreg_Dbip1_24h	BP
GO:0106074	aminoacyl-tRNA metabolism involved in tr...	7	4	0.13	3.7e-06	downreg_Dbip1_4h	BP
GO:0007010	cytoskeleton organization	84	5	1.55	0.00033	downreg_Dbip1_4h	BP
GO:0045901	positive regulation of translational elo...	2	2	0.04	0.00034	downreg_Dbip1_4h	BP
GO:0045905	positive regulation of translational ter...	2	2	0.04	0.00034	downreg_Dbip1_4h	BP
GO:0006432	phenylalanyl-tRNA aminoacylation	3	2	0.06	0.001	downreg_Dbip1_4h	BP
GO:0008612	peptidyl-lysine modification to peptidyl...	4	2	0.07	0.00198	downreg_Dbip1_4h	BP
GO:0120009	intermembrane lipid transfer	5	2	0.09	0.00326	downreg_Dbip1_4h	BP
GO:0006541	glutamine metabolic process	18	3	0.33	0.0041	downreg_Dbip1_4h	BP
GO:0007018	microtubule-based movement	21	4	0.39	0.00472	downreg_Dbip1_4h	BP
GO:0006452	translational frameshifting	6	2	0.11	0.00484	downreg_Dbip1_4h	BP
