GO.ID	Term	Annotated	Significant	Expected	topgoFisher	filename	GO_cat
GO:0000413	protein peptidyl-prolyl isomerization	12	3	0.58	0.0177	upreg_Dmst12_0h	BP
GO:0032220	plasma membrane fusion involved in cytog...	5	2	0.24	0.02106	upreg_Dmst12_0h	BP
GO:0019509	L-methionine salvage from methylthioaden...	5	2	0.24	0.02106	upreg_Dmst12_0h	BP
GO:0019287	isopentenyl diphosphate biosynthetic pro...	5	2	0.24	0.02106	upreg_Dmst12_0h	BP
GO:0009408	response to heat	10	3	0.48	0.03048	upreg_Dmst12_0h	BP
GO:0006048	UDP-N-acetylglucosamine biosynthetic pro...	6	2	0.29	0.0306	upreg_Dmst12_0h	BP
GO:0009099	valine biosynthetic process	7	2	0.34	0.04149	upreg_Dmst12_0h	BP
GO:0042026	protein refolding	7	2	0.34	0.04149	upreg_Dmst12_0h	BP
GO:0019243	methylglyoxal catabolic process to D-lac...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0051091	positive regulation of DNA-binding trans...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0006228	UTP biosynthetic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0070966	nuclear-transcribed mRNA catabolic proce...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0006217	deoxycytidine catabolic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0010043	response to zinc ion	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0010045	response to nickel cation	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0015677	copper ion import	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0042183	formate catabolic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0019307	mannose biosynthetic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0034477	U6 snRNA 3'-end processing	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0044539	long-chain fatty acid import into cell	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0009439	cyanate metabolic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0019478	D-amino acid catabolic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0016095	polyprenol catabolic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0070370	cellular heat acclimation	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0009972	cytidine deamination	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:1901856	negative regulation of cellular respirat...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:1990414	replication-born double-strand break rep...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0006190	inosine salvage	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0071590	nicotinamide riboside biosynthetic proce...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0071592	nicotinic acid riboside biosynthetic pro...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0009691	cytokinin biosynthetic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:1903424	fluoride transmembrane transport	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0006183	GTP biosynthetic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0035719	tRNA import into nucleus	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0034276	kynurenic acid biosynthetic process	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0009204	deoxyribonucleoside triphosphate catabol...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0034396	negative regulation of transcription fro...	1	1	0.05	0.04824	upreg_Dmst12_0h	BP
GO:0006878	intracellular copper ion homeostasis	11	6	0.9	9.7e-05	upreg_Dmst12_24h	BP
GO:0006508	proteolysis	341	37	28.03	0.0011	upreg_Dmst12_24h	BP
GO:0035434	copper ion transmembrane transport	8	4	0.66	0.0024	upreg_Dmst12_24h	BP
GO:0055085	transmembrane transport	606	76	49.82	0.0045	upreg_Dmst12_24h	BP
GO:0008295	spermidine biosynthetic process	2	2	0.16	0.0067	upreg_Dmst12_24h	BP
GO:0006694	steroid biosynthetic process	28	5	2.3	0.0091	upreg_Dmst12_24h	BP
GO:0008152	metabolic process	3931	289	323.15	0.0094	upreg_Dmst12_24h	BP
GO:0035672	oligopeptide transmembrane transport	13	4	1.07	0.0177	upreg_Dmst12_24h	BP
GO:0019408	dolichol biosynthetic process	3	2	0.25	0.0191	upreg_Dmst12_24h	BP
GO:0006357	regulation of transcription by RNA polym...	282	31	23.18	0.0327	upreg_Dmst12_24h	BP
GO:0015680	protein maturation by copper ion transfe...	4	2	0.33	0.0362	upreg_Dmst12_24h	BP
GO:0071805	potassium ion transmembrane transport	10	3	0.82	0.0429	upreg_Dmst12_24h	BP
GO:0005975	carbohydrate metabolic process	404	61	37.74	5.1e-05	upreg_Dmst12_4h	BP
GO:0030001	metal ion transport	101	19	9.43	0.0046	upreg_Dmst12_4h	BP
GO:0120029	proton export across plasma membrane	2	2	0.19	0.0087	upreg_Dmst12_4h	BP
GO:0031142	induction of conjugation upon nitrogen s...	2	2	0.19	0.0087	upreg_Dmst12_4h	BP
GO:0006044	N-acetylglucosamine metabolic process	2	2	0.19	0.0087	upreg_Dmst12_4h	BP
GO:0019290	siderophore biosynthetic process	2	2	0.19	0.0087	upreg_Dmst12_4h	BP
GO:0006559	L-phenylalanine catabolic process	6	3	0.56	0.0131	upreg_Dmst12_4h	BP
GO:0006508	proteolysis	341	33	31.85	0.0136	upreg_Dmst12_4h	BP
GO:0006878	intracellular copper ion homeostasis	11	4	1.03	0.0146	upreg_Dmst12_4h	BP
GO:0008152	metabolic process	3931	357	367.17	0.0155	upreg_Dmst12_4h	BP
GO:0035672	oligopeptide transmembrane transport	13	4	1.21	0.0272	upreg_Dmst12_4h	BP
GO:0044550	secondary metabolite biosynthetic proces...	53	15	4.95	0.0398	upreg_Dmst12_4h	BP
GO:0055085	transmembrane transport	606	77	56.6	0.0412	upreg_Dmst12_4h	BP
GO:0006116	NADH oxidation	4	2	0.37	0.046	upreg_Dmst12_4h	BP
GO:0000272	polysaccharide catabolic process	102	16	9.53	0.0476	upreg_Dmst12_4h	BP
GO:0030245	cellulose catabolic process	22	5	2.05	0.0484	upreg_Dmst12_4h	BP
GO:0005730	nucleolus	146	80	12.71	< 1e-30	downreg_Dbip1_0h	CC
GO:0032040	small-subunit processome	35	27	3.05	1.9e-22	downreg_Dbip1_0h	CC
GO:0030687	preribosome, large subunit precursor	22	19	1.92	6.7e-15	downreg_Dbip1_0h	CC
GO:0005634	nucleus	1255	238	109.28	2.1e-10	downreg_Dbip1_0h	CC
GO:0005643	nuclear pore	24	13	2.09	7.8e-08	downreg_Dbip1_0h	CC
GO:0005622	intracellular anatomical structure	2867	383	249.65	3.9e-05	downreg_Dbip1_0h	CC
GO:0030688	preribosome, small subunit precursor	11	7	0.96	6.6e-05	downreg_Dbip1_0h	CC
GO:0030686	90S preribosome	19	15	1.65	0.00021	downreg_Dbip1_0h	CC
GO:0034388	Pwp2p-containing subcomplex of 90S preri...	3	3	0.26	0.00066	downreg_Dbip1_0h	CC
GO:0000428	DNA-directed RNA polymerase complex	61	13	5.31	0.00158	downreg_Dbip1_0h	CC
GO:0005721	pericentric heterochromatin	8	4	0.7	0.00300	downreg_Dbip1_0h	CC
GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	19	7	1.65	0.00702	downreg_Dbip1_0h	CC
GO:0030690	Noc1p-Noc2p complex	2	2	0.17	0.00757	downreg_Dbip1_0h	CC
GO:0030691	Noc2p-Noc3p complex	2	2	0.17	0.00757	downreg_Dbip1_0h	CC
GO:0070545	PeBoW complex	2	2	0.17	0.00757	downreg_Dbip1_0h	CC
GO:0032301	MutSalpha complex	2	2	0.17	0.00757	downreg_Dbip1_0h	CC
GO:0140445	chromosome, telomeric repeat region	10	4	0.87	0.00782	downreg_Dbip1_0h	CC
GO:0005739	mitochondrion	435	56	37.88	0.00887	downreg_Dbip1_0h	CC
GO:0005744	TIM23 mitochondrial import inner membran...	10	4	0.87	0.01074	downreg_Dbip1_0h	CC
GO:0016459	myosin complex	6	3	0.52	0.01076	downreg_Dbip1_0h	CC
GO:0071014	post-mRNA release spliceosomal complex	24	6	2.09	0.01472	downreg_Dbip1_0h	CC
GO:0005654	nucleoplasm	91	15	7.92	0.01494	downreg_Dbip1_0h	CC
GO:0005635	nuclear envelope	51	19	4.44	0.01518	downreg_Dbip1_0h	CC
GO:0000439	transcription factor TFIIH core complex	7	3	0.61	0.01763	downreg_Dbip1_0h	CC
GO:0005741	mitochondrial outer membrane	28	7	2.44	0.02036	downreg_Dbip1_0h	CC
GO:0099115	chromosome, subtelomeric region	3	2	0.26	0.02140	downreg_Dbip1_0h	CC
GO:0034457	Mpp10 complex	3	2	0.26	0.02140	downreg_Dbip1_0h	CC
GO:0000935	division septum	9	3	0.78	0.03708	downreg_Dbip1_0h	CC
GO:0097038	perinuclear endoplasmic reticulum	4	2	0.35	0.04035	downreg_Dbip1_0h	CC
GO:0005742	mitochondrial outer membrane translocase...	4	2	0.35	0.04035	downreg_Dbip1_0h	CC
GO:0033553	rDNA heterochromatin	4	2	0.35	0.04035	downreg_Dbip1_0h	CC
GO:0031428	box C/D RNP complex	4	2	0.35	0.04035	downreg_Dbip1_0h	CC
GO:0005840	ribosome	156	30	9.28	1.9e-06	downreg_Dbip1_24h	CC
GO:0022625	cytosolic large ribosomal subunit	12	6	0.71	2.9e-05	downreg_Dbip1_24h	CC
GO:0031262	Ndc80 complex	3	3	0.18	0.00021	downreg_Dbip1_24h	CC
GO:1990904	ribonucleoprotein complex	333	40	19.8	0.00051	downreg_Dbip1_24h	CC
GO:0030688	preribosome, small subunit precursor	11	4	0.65	0.00291	downreg_Dbip1_24h	CC
GO:0140602	nucleolar peripheral inclusion body	6	3	0.36	0.00365	downreg_Dbip1_24h	CC
GO:0005730	nucleolus	146	19	8.68	0.01169	downreg_Dbip1_24h	CC
GO:0000776	kinetochore	33	7	1.96	0.01914	downreg_Dbip1_24h	CC
GO:0022627	cytosolic small ribosomal subunit	11	3	0.65	0.0241	downreg_Dbip1_24h	CC
GO:0030686	90S preribosome	19	5	1.13	0.0462	downreg_Dbip1_24h	CC
GO:0017102	methionyl glutamyl tRNA synthetase compl...	2	2	0.03	3e-04	downreg_Dbip1_4h	CC
GO:0000015	phosphopyruvate hydratase complex	1	1	0.02	0.0174	downreg_Dbip1_4h	CC
GO:0045298	tubulin complex	1	1	0.02	0.0174	downreg_Dbip1_4h	CC
GO:0009328	phenylalanine-tRNA ligase complex	1	1	0.02	0.0174	downreg_Dbip1_4h	CC
GO:0022625	cytosolic large ribosomal subunit	12	2	0.21	0.0177	downreg_Dbip1_4h	CC
GO:0005874	microtubule	42	4	0.73	0.0257	downreg_Dbip1_4h	CC
GO:0005853	eukaryotic translation elongation factor...	2	1	0.03	0.0345	downreg_Dbip1_4h	CC
GO:0005730	nucleolus	146	66	9.25	< 1e-30	downreg_Dmst12_0h	CC
GO:0032040	small-subunit processome	35	25	2.22	6.7e-23	downreg_Dmst12_0h	CC
GO:0030687	preribosome, large subunit precursor	22	15	1.39	1.2e-10	downreg_Dmst12_0h	CC
GO:0030688	preribosome, small subunit precursor	11	8	0.7	4.0e-07	downreg_Dmst12_0h	CC
GO:0030686	90S preribosome	19	16	1.2	1.4e-06	downreg_Dmst12_0h	CC
GO:0034388	Pwp2p-containing subcomplex of 90S preri...	3	3	0.19	0.00025	downreg_Dmst12_0h	CC
GO:0005635	nuclear envelope	51	13	3.23	0.00032	downreg_Dmst12_0h	CC
GO:0005634	nucleus	1255	160	79.52	0.00043	downreg_Dmst12_0h	CC
GO:0005739	mitochondrion	435	48	27.56	0.00043	downreg_Dmst12_0h	CC
GO:0000428	DNA-directed RNA polymerase complex	61	12	3.86	0.00046	downreg_Dmst12_0h	CC
GO:0030690	Noc1p-Noc2p complex	2	2	0.13	0.00401	downreg_Dmst12_0h	CC
GO:0030691	Noc2p-Noc3p complex	2	2	0.13	0.00401	downreg_Dmst12_0h	CC
GO:0070545	PeBoW complex	2	2	0.13	0.00401	downreg_Dmst12_0h	CC
GO:0005622	intracellular anatomical structure	2867	267	181.65	0.00939	downreg_Dmst12_0h	CC
GO:0005643	nuclear pore	24	6	1.52	0.01065	downreg_Dmst12_0h	CC
GO:0034457	Mpp10 complex	3	2	0.19	0.01152	downreg_Dmst12_0h	CC
GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	19	6	1.2	0.01228	downreg_Dmst12_0h	CC
GO:0097038	perinuclear endoplasmic reticulum	4	2	0.25	0.02207	downreg_Dmst12_0h	CC
GO:0005742	mitochondrial outer membrane translocase...	4	2	0.25	0.02207	downreg_Dmst12_0h	CC
GO:0031428	box C/D RNP complex	4	2	0.25	0.02207	downreg_Dmst12_0h	CC
GO:0030915	Smc5-Smc6 complex	5	2	0.32	0.03525	downreg_Dmst12_0h	CC
GO:0042645	mitochondrial nucleoid	12	3	0.76	0.03622	downreg_Dmst12_0h	CC
GO:0005759	mitochondrial matrix	79	11	5.01	0.04192	downreg_Dmst12_0h	CC
GO:0005829	cytosol	178	25	12.11	0.0012	upreg_Dbip1_0h	CC
GO:0005737	cytoplasm	1545	115	105.15	0.0046	upreg_Dbip1_0h	CC
GO:0005885	Arp2/3 protein complex	7	3	0.48	0.0089	upreg_Dbip1_0h	CC
GO:0019008	molybdopterin synthase complex	3	2	0.2	0.0132	upreg_Dbip1_0h	CC
GO:0140453	protein aggregate center	4	2	0.27	0.0253	upreg_Dbip1_0h	CC
GO:0016020	membrane	2511	339	258.06	1.8e-18	upreg_Dbip1_24h	CC
GO:0005576	extracellular region	184	33	18.91	0.0025	upreg_Dbip1_24h	CC
GO:0005618	cell wall	50	10	5.14	0.018	upreg_Dbip1_24h	CC
GO:0019028	viral capsid	3	2	0.31	0.0295	upreg_Dbip1_24h	CC
GO:0016020	membrane	2511	185	148.16	8e-08	upreg_Dbip1_4h	CC
GO:0005576	extracellular region	184	24	10.86	0.0025	upreg_Dbip1_4h	CC
GO:0005615	extracellular space	12	4	0.71	0.0041	upreg_Dbip1_4h	CC
GO:0019028	viral capsid	3	2	0.18	0.01	upreg_Dbip1_4h	CC
GO:0000786	nucleosome	10	3	0.59	0.0179	upreg_Dbip1_4h	CC
GO:0009337	sulfite reductase complex (NADPH)	2	2	0.1	0.0024	upreg_Dmst12_0h	CC
GO:0019008	molybdopterin synthase complex	3	2	0.15	0.0071	upreg_Dmst12_0h	CC
GO:0140453	protein aggregate center	4	2	0.2	0.0137	upreg_Dmst12_0h	CC
GO:0071821	FANCM-MHF complex	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:1990389	CUE1-UBC7 ubiquitin-conjugating enzyme c...	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0000837	Doa10p ubiquitin ligase complex	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0120106	mitotic actomyosin contractile ring, dis...	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0009326	formate dehydrogenase complex	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0072380	TRC complex	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:1903269	ornithine carbamoyltransferase inhibitor...	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0009349	riboflavin synthase complex	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0016363	nuclear matrix	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:1902693	superoxide dismutase complex	1	1	0.05	0.0495	upreg_Dmst12_0h	CC
GO:0016020	membrane	2511	288	223.83	7.9e-14	upreg_Dmst12_24h	CC
GO:0005576	extracellular region	184	33	16.4	0.00024	upreg_Dmst12_24h	CC
GO:0019028	viral capsid	3	2	0.27	0.0224	upreg_Dmst12_24h	CC
GO:0016592	mediator complex	21	5	1.87	0.03392	upreg_Dmst12_24h	CC
GO:0031105	septin complex	4	2	0.36	0.04216	upreg_Dmst12_24h	CC
GO:0009279	cell outer membrane	4	2	0.36	0.04216	upreg_Dmst12_24h	CC
GO:0005524	ATP binding	656	121	54.85	7.1e-18	downreg_Dbip1_0h	MF
GO:0003723	RNA binding	328	88	27.43	2.7e-14	downreg_Dbip1_0h	MF
GO:0004386	helicase activity	103	45	8.61	2.6e-13	downreg_Dbip1_0h	MF
GO:0003676	nucleic acid binding	1015	212	84.87	7.5e-12	downreg_Dbip1_0h	MF
GO:0003724	RNA helicase activity	30	17	2.51	1.7e-11	downreg_Dbip1_0h	MF
GO:0016887	ATP hydrolysis activity	201	46	16.81	1.6e-10	downreg_Dbip1_0h	MF
GO:0140658	ATP-dependent chromatin remodeler activi...	26	13	2.17	6.1e-08	downreg_Dbip1_0h	MF
GO:0030515	snoRNA binding	19	13	1.59	9.7e-08	downreg_Dbip1_0h	MF
GO:0003677	DNA binding	465	79	38.88	1.2e-07	downreg_Dbip1_0h	MF
GO:0017056	structural constituent of nuclear pore	12	8	1	8.4e-07	downreg_Dbip1_0h	MF
GO:0005515	protein binding	905	116	75.67	9.1e-06	downreg_Dbip1_0h	MF
GO:0140359	ABC-type transporter activity	41	14	3.43	1.2e-05	downreg_Dbip1_0h	MF
GO:0000981	DNA-binding transcription factor activit...	189	31	15.8	2e-04	downreg_Dbip1_0h	MF
GO:0000155	phosphorelay sensor kinase activity	13	6	1.09	0.00034	downreg_Dbip1_0h	MF
GO:0000156	phosphorelay response regulator activity	13	6	1.09	0.00034	downreg_Dbip1_0h	MF
GO:0043021	ribonucleoprotein complex binding	27	10	2.26	0.00062	downreg_Dbip1_0h	MF
GO:0034511	U3 snoRNA binding	6	4	0.5	0.00063	downreg_Dbip1_0h	MF
GO:0008270	zinc ion binding	671	79	56.1	0.00095	downreg_Dbip1_0h	MF
GO:0008320	protein transmembrane transporter activi...	9	4	0.75	0.00218	downreg_Dbip1_0h	MF
GO:0032549	ribonucleoside binding	4	3	0.33	0.00218	downreg_Dbip1_0h	MF
GO:0070180	large ribosomal subunit rRNA binding	4	3	0.33	0.00218	downreg_Dbip1_0h	MF
GO:0016818	hydrolase activity, acting on acid anhyd...	333	66	27.84	0.00364	downreg_Dbip1_0h	MF
GO:0004725	protein tyrosine phosphatase activity	20	6	1.67	0.00468	downreg_Dbip1_0h	MF
GO:0042802	identical protein binding	45	11	3.76	0.00484	downreg_Dbip1_0h	MF
GO:0016817	hydrolase activity, acting on acid anhyd...	335	68	28.01	0.00628	downreg_Dbip1_0h	MF
GO:0004449	isocitrate dehydrogenase (NAD+) activity	2	2	0.17	0.00698	downreg_Dbip1_0h	MF
GO:0004534	5'-3' RNA exonuclease activity	2	2	0.17	0.00698	downreg_Dbip1_0h	MF
GO:0097157	pre-mRNA intronic binding	2	2	0.17	0.00698	downreg_Dbip1_0h	MF
GO:0004144	diacylglycerol O-acyltransferase activit...	2	2	0.17	0.00698	downreg_Dbip1_0h	MF
GO:0030943	mitochondrion targeting sequence binding	2	2	0.17	0.00698	downreg_Dbip1_0h	MF
GO:0003887	DNA-directed DNA polymerase activity	16	5	1.34	0.00808	downreg_Dbip1_0h	MF
GO:0003958	NADPH-hemoprotein reductase activity	6	3	0.5	0.00961	downreg_Dbip1_0h	MF
GO:0003746	translation elongation factor activity	17	5	1.42	0.01067	downreg_Dbip1_0h	MF
GO:0005388	P-type calcium transporter activity	7	3	0.59	0.01578	downreg_Dbip1_0h	MF
GO:0004100	chitin synthase activity	7	3	0.59	0.01578	downreg_Dbip1_0h	MF
GO:0015095	magnesium ion transmembrane transporter ...	7	3	0.59	0.01578	downreg_Dbip1_0h	MF
GO:0017111	ribonucleoside triphosphate phosphatase ...	304	61	25.42	0.01616	downreg_Dbip1_0h	MF
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	32	9	2.68	0.01718	downreg_Dbip1_0h	MF
GO:0003684	damaged DNA binding	19	5	1.59	0.01744	downreg_Dbip1_0h	MF
GO:0030623	U5 snRNA binding	3	2	0.25	0.01978	downreg_Dbip1_0h	MF
GO:0008139	nuclear localization sequence binding	3	2	0.25	0.01978	downreg_Dbip1_0h	MF
GO:0004375	glycine dehydrogenase (decarboxylating) ...	3	2	0.25	0.01978	downreg_Dbip1_0h	MF
GO:0003918	DNA topoisomerase type II (double strand...	3	2	0.25	0.01978	downreg_Dbip1_0h	MF
GO:0005347	ATP transmembrane transporter activity	20	5	1.67	0.0217	downreg_Dbip1_0h	MF
GO:0008138	protein tyrosine/serine/threonine phosph...	8	3	0.67	0.02369	downreg_Dbip1_0h	MF
GO:0003682	chromatin binding	34	9	2.84	0.02531	downreg_Dbip1_0h	MF
GO:0019843	rRNA binding	27	10	2.26	0.03076	downreg_Dbip1_0h	MF
GO:0016787	hydrolase activity	1442	148	120.57	0.03323	downreg_Dbip1_0h	MF
GO:0050660	flavin adenine dinucleotide binding	166	18	13.88	0.03349	downreg_Dbip1_0h	MF
GO:0031491	nucleosome binding	5	3	0.42	0.0373	downreg_Dbip1_0h	MF
GO:0042162	telomeric DNA binding	11	3	0.92	0.03735	downreg_Dbip1_0h	MF
GO:0102265	tRNA-dihydrouridine47 synthase activity	4	2	0.33	0.03738	downreg_Dbip1_0h	MF
GO:0042134	rRNA primary transcript binding	4	2	0.33	0.03738	downreg_Dbip1_0h	MF
GO:0033961	cis-stilbene-oxide hydrolase activity	4	2	0.33	0.03738	downreg_Dbip1_0h	MF
GO:0070330	aromatase activity	4	2	0.33	0.03738	downreg_Dbip1_0h	MF
GO:0000287	magnesium ion binding	57	9	4.77	0.04554	downreg_Dbip1_0h	MF
GO:0003735	structural constituent of ribosome	135	26	8.11	9.5e-08	downreg_Dbip1_24h	MF
GO:0003777	microtubule motor activity	14	5	0.84	0.00098	downreg_Dbip1_24h	MF
GO:0030170	pyridoxal phosphate binding	67	11	4.03	0.00199	downreg_Dbip1_24h	MF
GO:0016491	oxidoreductase activity	982	81	59.03	0.0032	downreg_Dbip1_24h	MF
GO:0008017	microtubule binding	18	5	1.08	0.00343	downreg_Dbip1_24h	MF
GO:0010181	FMN binding	34	7	2.04	0.00354	downreg_Dbip1_24h	MF
GO:0015662	P-type ion transporter activity	25	5	1.5	0.02005	downreg_Dbip1_24h	MF
GO:0003700	DNA-binding transcription factor activit...	249	26	14.97	0.0246	downreg_Dbip1_24h	MF
GO:0019843	rRNA binding	27	6	1.62	0.03383	downreg_Dbip1_24h	MF
GO:0000981	DNA-binding transcription factor activit...	189	18	11.36	0.03519	downreg_Dbip1_24h	MF
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-manno...	14	3	0.84	0.04787	downreg_Dbip1_24h	MF
GO:0003746	translation elongation factor activity	17	5	0.33	1.3e-05	downreg_Dbip1_4h	MF
GO:0002161	aminoacyl-tRNA editing activity	7	4	0.13	0.00013	downreg_Dbip1_4h	MF
GO:0005200	structural constituent of cytoskeleton	6	3	0.12	0.00014	downreg_Dbip1_4h	MF
GO:0004826	phenylalanine-tRNA ligase activity	3	2	0.06	0.00109	downreg_Dbip1_4h	MF
GO:0000049	tRNA binding	20	3	0.39	0.00631	downreg_Dbip1_4h	MF
GO:0003924	GTPase activity	91	6	1.75	0.00814	downreg_Dbip1_4h	MF
GO:0051499	D-aminoacyl-tRNA deacylase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0047938	glucose-6-phosphate 1-epimerase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004414	homoserine O-acetyltransferase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:1904408	melatonin binding	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004107	chorismate synthase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004337	geranyltranstransferase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0016040	glutamate synthase (NADH) activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0008453	alanine-glyoxylate transaminase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0003959	NADPH dehydrogenase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0052856	NADHX epimerase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0052857	NADPHX epimerase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0003977	UDP-N-acetylglucosamine diphosphorylase ...	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate ...	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0070004	cysteine-type exopeptidase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004634	phosphopyruvate hydratase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004161	dimethylallyltranstransferase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0050483	IMP 5'-nucleotidase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0017089	glycolipid transfer activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004819	glutamine-tRNA ligase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0051861	glycolipid binding	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004832	valine-tRNA ligase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004360	glutamine-fructose-6-phosphate transamin...	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0008569	minus-end-directed microtubule motor act...	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0003852	2-isopropylmalate synthase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0036381	pyridoxal 5'-phosphate synthase (glutami...	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0004801	transaldolase activity	1	1	0.02	0.01928	downreg_Dbip1_4h	MF
GO:0000155	phosphorelay sensor kinase activity	13	2	0.25	0.02507	downreg_Dbip1_4h	MF
GO:0010181	FMN binding	34	3	0.66	0.02722	downreg_Dbip1_4h	MF
GO:0005525	GTP binding	125	6	2.41	0.03369	downreg_Dbip1_4h	MF
GO:0008526	phosphatidylinositol transfer activity	2	1	0.04	0.03819	downreg_Dbip1_4h	MF
GO:0051538	3 iron, 4 sulfur cluster binding	2	1	0.04	0.03819	downreg_Dbip1_4h	MF
GO:0008379	thioredoxin peroxidase activity	2	1	0.04	0.03819	downreg_Dbip1_4h	MF
GO:0004631	phosphomevalonate kinase activity	2	1	0.04	0.03819	downreg_Dbip1_4h	MF
GO:0004825	methionine-tRNA ligase activity	2	1	0.04	0.03819	downreg_Dbip1_4h	MF
GO:0004818	glutamate-tRNA ligase activity	2	1	0.04	0.03819	downreg_Dbip1_4h	MF
GO:0005524	ATP binding	656	86	40.64	8.9e-12	downreg_Dmst12_0h	MF
GO:0003723	RNA binding	328	62	20.32	5.9e-09	downreg_Dmst12_0h	MF
GO:0003724	RNA helicase activity	30	12	1.86	8.8e-08	downreg_Dmst12_0h	MF
GO:0030515	snoRNA binding	19	12	1.18	1.9e-07	downreg_Dmst12_0h	MF
GO:0016887	ATP hydrolysis activity	201	32	12.45	6.6e-07	downreg_Dmst12_0h	MF
GO:0004386	helicase activity	103	26	6.38	1.7e-06	downreg_Dmst12_0h	MF
GO:0140658	ATP-dependent chromatin remodeler activi...	26	9	1.61	1.5e-05	downreg_Dmst12_0h	MF
GO:0003676	nucleic acid binding	1015	140	62.88	3.6e-05	downreg_Dmst12_0h	MF
GO:0005515	protein binding	905	85	56.07	0.00015	downreg_Dmst12_0h	MF
