GO.ID	Term	Annotated	Significant	Expected	topgoFisher
GO:0016491	oxidoreductase activity	982	119	70.62	0.00014
GO:0015035	protein-disulfide reductase activity	19	7	1.37	0.00118
GO:0000166	nucleotide binding	1397	110	100.47	0.00128
GO:0051879	Hsp90 protein binding	4	3	0.29	0.00140
GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	21	6	1.51	0.00288
GO:0008379	thioredoxin peroxidase activity	2	2	0.14	0.00516
GO:0004020	adenylylsulfate kinase activity	2	2	0.14	0.00516
GO:0016706	2-oxoglutarate-dependent dioxygenase act...	26	6	1.87	0.00898
GO:0003824	catalytic activity	3791	354	272.63	0.01299
GO:0052861	glucan endo-1,3-beta-glucanase activity,...	3	2	0.22	0.01475
GO:0052862	glucan endo-1,4-beta-glucanase activity,...	3	2	0.22	0.01475
GO:0051787	misfolded protein binding	3	2	0.22	0.01475
GO:0019825	oxygen binding	3	2	0.22	0.01475
GO:0003849	3-deoxy-7-phosphoheptulonate synthase ac...	3	2	0.22	0.01475
GO:0004069	L-aspartate:2-oxoglutarate aminotransfer...	3	2	0.22	0.01475
GO:0008812	choline dehydrogenase activity	16	4	1.15	0.02405
GO:0003839	gamma-glutamylcyclotransferase activity	4	2	0.29	0.02810
GO:0005199	structural constituent of cell wall	4	2	0.29	0.02810
GO:0004096	catalase activity	4	2	0.29	0.02810
GO:0004733	pyridoxamine phosphate oxidase activity	4	2	0.29	0.02810
GO:0051213	dioxygenase activity	71	12	5.11	0.02978
GO:0008061	chitin binding	34	6	2.45	0.03226
GO:0016829	lyase activity	157	28	11.29	0.03776
GO:0046872	metal ion binding	1395	107	100.32	0.04397
GO:0003756	protein disulfide isomerase activity	5	2	0.36	0.04463
GO:0000287	magnesium ion binding	57	8	4.1	0.04985
GO:0004128	cytochrome-b5 reductase activity, acting...	12	3	0.86	0.04997
