GO.ID	Term	Annotated	Significant	Expected	topgoFisher
GO:0000027	ribosomal large subunit assembly	15	6	0.88	0.00013
GO:0006412	translation	293	29	17.2	0.00083
GO:0051301	cell division	95	13	5.58	0.00084
GO:0110136	protein-RNA complex remodeling	2	2	0.12	0.00344
GO:0140429	positive regulation of mitotic sister ch...	2	2	0.12	0.00344
GO:0030466	silent mating-type cassette heterochroma...	9	3	0.53	0.01294
GO:0006407	rRNA export from nucleus	4	2	0.23	0.01906
GO:0106035	protein maturation by [4Fe-4S] cluster t...	4	2	0.23	0.01906
GO:1990547	mitochondrial phosphate ion transmembran...	4	2	0.23	0.01906
GO:0006750	glutathione biosynthetic process	4	2	0.23	0.01906
GO:0006730	one-carbon metabolic process	17	4	1	0.02960
GO:0070814	hydrogen sulfide biosynthetic process	7	3	0.41	0.03044
GO:0000056	ribosomal small subunit export from nucl...	5	2	0.29	0.03054
GO:0006631	fatty acid metabolic process	63	4	3.7	0.03071
GO:0007018	microtubule-based movement	21	4	1.23	0.03163
GO:0007049	cell cycle	246	22	14.44	0.03571
